Zurich,47.36667 8.55000,87.88,415215,4700,158,408
Geneva,46.20222 6.14569,15.92,201818,13000,54,375
Basel,47.55839 7.57327,23.85,177595,7400,39,261
Lausanne,46.516 6.63282,41.37,139111,3400,59,526
Bern,46.94809 7.44744,51.62,133791,2600,52,540
Berlin,52.51667 13.38889,891.7,6004857,4100,130,34
Hamburg,53.58333 10.00000,755.22,1845229,2400,123,6
Dusseldorf,51.22172 6.77616,217.41,620523,2900,50,38
Munich,48.13743 11.57549,310.71,1488202,4800,117,520
Dresden,51.05089 13.73832,328.8,556227,1700,22,113
